SID-00173531-N: SID-00172710-N
SID-00169266-V: SID-00169458-V
SID-00169459-V: SID-00169651-V
SID-00169614-V: SID-00169806-V
SID-00173351-V: SID-00173338-V
SID-00181811-N: SID-00180962-N
SID-00177724-V: SID-00177714-V
SID-00177871-V: SID-00177861-V
SID-00178216-V: SID-00178102-V
SID-00178349-V: SID-00178235-V
SID-00183062-N: SID-00182213-N
SID-00179456-V: SID-00179311-V
SID-00180982-V: SID-00180837-V
SID-00181809-V: SID-00181664-V
SID-00182551-V: SID-00182406-V
SID-00184024-V: SID-00183879-V
SID-00184262-V: SID-00184117-V
SID-00191991-N: SID-00191142-N
SID-00193462-N: SID-00192613-N
SID-00190355-V: SID-00190023-V
SID-00192383-V: SID-00192051-V
SID-00193830-V: SID-00193486-V
SID-00199300-N: SID-00198451-N
SID-00194878-V: SID-00194534-V
SID-00195256-V: SID-00194912-V
SID-00199979-N: SID-00199130-N
SID-00200556-N: SID-00199707-N
SID-00196708-V: SID-00196364-V
SID-00201907-N: SID-00201058-N
SID-00197965-V: SID-00197590-V
SID-00203133-N: SID-00202284-N
SID-00203665-N: SID-00202816-N
SID-00204191-N: SID-00203342-N
SID-00200023-V: SID-00199659-V
SID-00204228-V: SID-00203866-V
SID-00204753-V: SID-00204391-V
SID-00205454-V: SID-00205046-V
SID-00206293-V: SID-00205885-V
SID-00210792-N: SID-00209943-N
SID-00208463-V: SID-00208055-V
SID-00208618-V: SID-00208210-V
SID-00212840-V: SID-00212414-V
SID-00217041-N: SID-00216174-N
SID-00214220-V: SID-00213794-V
SID-00215377-V: SID-00214951-V
SID-00219879-N: SID-00219012-N
SID-00221389-N: SID-00220522-N
SID-00217578-V: SID-00217152-V
SID-00218756-V: SID-00218330-V
SID-00218901-V: SID-00218475-V
SID-00219829-V: SID-00219403-V
SID-00221295-V: SID-00220869-V
SID-00225327-V: SID-00224901-V
SID-00231039-N: SID-00230172-N
SID-00226992-V: SID-00226566-V
SID-00232434-N: SID-00231567-N
SID-00233253-N: SID-00232386-N
SID-00235759-N: SID-00234892-N
SID-00231172-V: SID-00230746-V
SID-00236302-N: SID-00235435-N
SID-00231983-V: SID-00231557-V
SID-00237945-N: SID-00237078-N
SID-00234091-V: SID-00233335-V
SID-00235426-V: SID-00234725-V
SID-00238763-V: SID-00237877-V
SID-00244785-N: SID-00243918-N
SID-00241457-V: SID-00240571-V
SID-00241924-V: SID-00241038-V
SID-00242575-V: SID-00241689-V
SID-00244786-V: SID-00243900-V
SID-00249844-N: SID-00248977-N
SID-00245945-V: SID-00245059-V
SID-00251126-N: SID-00250259-N
SID-00251880-N: SID-00251013-N
SID-00249545-V: SID-00248659-V
SID-00250738-V: SID-00249852-V
SID-00251067-V: SID-00250181-V
SID-00251950-V: SID-00251064-V
SID-00252905-V: SID-00252019-V
SID-00259697-N: SID-00258854-N
SID-00257393-V: SID-00256507-V
SID-00261465-N: SID-00260622-N
SID-00258155-V: SID-00257269-V
SID-00263092-N: SID-00262249-N
SID-00259743-V: SID-00258857-V
SID-00263586-N: SID-00262743-N
SID-00261534-V: SID-00260648-V
SID-00263589-V: SID-00262703-V
SID-00267650-N: SID-00266806-N
SID-00264920-V: SID-00264034-V
SID-00272107-N: SID-00271263-N
SID-00273557-N: SID-00272713-N
SID-00271360-V: SID-00270561-V
SID-00272745-V: SID-00271946-V
SID-00277464-N: SID-00276620-N
SID-00277831-N: SID-00276987-N
SID-00274244-V: SID-00273445-V
SID-00276406-V: SID-00275607-V
SID-00276642-V: SID-00275843-V
SID-00276867-V: SID-00276068-V
SID-00277013-V: SID-00276214-V
SID-00280679-N: SID-00279835-N
SID-00277172-V: SID-00276373-V
SID-00278429-V: SID-00277659-V
SID-00282894-N: SID-00282050-N
SID-00283971-N: SID-00283127-N
SID-00284412-N: SID-00283568-N
SID-00285642-N: SID-00284798-N
SID-00281690-V: SID-00280930-V
SID-00281861-V: SID-00281101-V
SID-00286401-N: SID-00285557-N
SID-00294760-N: SID-00293916-N
SID-00292635-V: SID-00291873-V
SID-00296527-N: SID-00295701-N
